DBN,School Name,School Type,Enrollment,Rigorous Instruction Rating,Collaborative Teachers Rating,Supportive Environment Rating,Effective School Leadership Rating,Strong Family-Community Ties Rating,Trust Rating,Student Achievement Rating,Rigorous Instruction - Percent Positive,Collaborative Teachers - Percent Positive,Supportive Environment - Percent Positive,Effective School Leadership - Percent Positive,Strong Family-Community Ties - Percent Positive,Trust - Percent Positive,Quality Review - How interesting and challenging is the curriculum,Quality Review - How effective is the teaching and learning,Quality Review - How well does the school assess what students are learning,Quality Review - How clearly are high expectations communicated to students and staff,Quality Review - How well do teachers work with each other,Quality Review - How safe and inclusive is the school while supporting social-emotional growth,Quality Review - How well does the school allocate and manage resources,"Quality Review - How well does the school identify, track, and meet its goals",Quality Review - How thoughtful is the school s approach to teacher development and evaluation,Quality Review - How well are school decisions evaluated and adjusted,Quality Review - Dates of Review,Average Grade 8 English Proficiency,Average Grade 8 Math Proficiency,Percent English Language Learners,Percent Students with Disabilities,Percent Self-Contained,Economic Need Index,Percent Overage/Undercredited,Percent in Temp Housing,Percent HRA Eligible,Percent Asian,Percent Black,Percent Hispanic,Percent White,Years of principal experience at this school,Percent of teachers with 3 or more years of experience,Student Attendance Rate,Percent of Students Chronically Absent,Teacher Attendance Rate
13K594,Gotham Professional Arts Academy,High School,178,Exceeding Target,Exceeding Target,Meeting Target,Exceeding Target,Meeting Target,Meeting Target,Meeting Target,83.0%,90.0%,74.0%,95.0%,89.0%,91.0%,Well Developed,Proficient,Well Developed,Well Developed,Well Developed,Well Developed,Well Developed,Well Developed,Well Developed,Well Developed,March-19,2.56,2.28,3.9%,36.0%,0.0%,0.86,16.9%,23.0%,75.8%,0.6%,77.5%,20.8%,0.6%,0.70,86.7%,80.4%,56.4%,98.4%
13K595,Bedford Academy High School,High School,363,Exceeding Target,Exceeding Target,Exceeding Target,Exceeding Target,Exceeding Target,Meeting Target,Meeting Target,87.0%,83.0%,80.0%,92.0%,92.0%,91.0%,Well Developed,Well Developed,Well Developed,Well Developed,Well Developed,,,,,,19-Dec-14,3.33,3.29,1.1%,13.8%,0.3%,0.62,2.2%,6.1%,49.0%,3.9%,78.5%,8.5%,3.6%,9.20,95.2%,92.1%,19.7%,97.4%
13K605,George Westinghouse Career and Technical Education,High School,776,Meeting Target,Approaching Target,Approaching Target,Meeting Target,Meeting Target,Approaching Target,Approaching Target,70.0%,62.0%,57.0%,71.0%,85.0%,81.0%,Proficient,Proficient,Proficient,Well Developed,Proficient,Proficient,Proficient,Proficient,Proficient,Proficient,April 2018,2.75,2.63,2.3%,17.4%,1.7%,0.75,4.6%,9.5%,64.2%,4.0%,68.3%,23.5%,1.7%,1.90,62.3%,88.4%,36.8%,97.0%
13K670,Benjamin Banneker Academy,High School,810,Approaching Target,Meeting Target,Approaching Target,Meeting Target,Meeting Target,Meeting Target,Meeting Target,82.0%,82.0%,71.0%,87.0%,90.0%,89.0%,Proficient,Developing,Developing,Proficient,Developing,Proficient,Proficient,Proficient,Proficient,Developing,March 2017,3.26,3.17,1.5%,14.6%,2.1%,0.67,2.3%,7.8%,53.5%,5.3%,79.9%,11.1%,0.9%,3.00,79.6%,88.9%,36.7%,96.4%
13K674,"City Polytechnic High School of Engineering, Archi",High School,426,Approaching Target,Approaching Target,Meeting Target,Meeting Target,Meeting Target,Meeting Target,Approaching Target,69.0%,64.0%,65.0%,79.0%,85.0%,86.0%,Proficient,Developing,Developing,Proficient,Proficient,Well Developed,Proficient,Proficient,Proficient,Developing,December 2016,2.98,3.00,1.6%,19.0%,0.0%,0.63,2.3%,6.3%,50.9%,5.4%,65.5%,21.4%,6.1%,1.20,75.9%,90.9%,27.5%,97.0%
14K071,Juan Morel Campos Secondary School,High School,329,Meeting Target,Meeting Target,Exceeding Target,Meeting Target,Exceeding Target,Exceeding Target,Approaching Target,84.0%,81.0%,78.0%,84.0%,97.0%,90.0%,Proficient,Proficient,Proficient,Well Developed,Proficient,Proficient,Well Developed,Proficient,Proficient,Proficient,May 2018,2.33,2.14,30.4%,30.7%,7.9%,0.92,7.6%,19.1%,84.2%,1.5%,14.0%,76.9%,6.4%,2.70,76.7%,86.6%,39.9%,96.1%
14K449,"Brooklyn Latin School, The",High School,698,Exceeding Target,Exceeding Target,Meeting Target,Approaching Target,Approaching Target,Meeting Target,Exceeding Target,88.0%,79.0%,78.0%,79.0%,80.0%,88.0%,Well Developed,Well Developed,Well Developed,Well Developed,Well Developed,,,,,,15-Dec-14,3.95,4.18,0.0%,2.3%,0.0%,0.56,0.6%,4.4%,43.0%,54.7%,12.2%,12.0%,13.0%,6.10,100.0%,93.6%,25.5%,96.8%
14K454,The Williamsburg High School of Art and Technology,High School,302,Meeting Target,Exceeding Target,Meeting Target,Meeting Target,Meeting Target,Exceeding Target,Meeting Target,81.0%,87.0%,74.0%,93.0%,89.0%,92.0%,Well Developed,Proficient,Proficient,Proficient,Well Developed,Proficient,Proficient,Proficient,Proficient,Proficient,November 2016,2.58,2.42,23.8%,25.2%,1.3%,0.83,6.0%,18.5%,71.5%,3.3%,22.5%,67.5%,5.3%,7.50,83.3%,85.1%,48.4%,96.6%
14K474,PROGRESS High School for Professional Careers,High School,674,Meeting Target,Meeting Target,Meeting Target,Meeting Target,Meeting Target,Approaching Target,Approaching Target,70.0%,71.0%,66.0%,74.0%,88.0%,80.0%,Well Developed,Well Developed,Proficient,Well Developed,Proficient,Well Developed,Well Developed,Proficient,Proficient,Proficient,April 2018,2.58,2.34,20.6%,21.2%,3.0%,0.88,13.9%,14.1%,77.7%,0.6%,27.3%,68.8%,1.2%,0.50,70.5%,78.1%,52.8%,96.0%
14K477,East Williamsburg Scholars Academy,High School,304,Approaching Target,Meeting Target,Meeting Target,Meeting Target,Exceeding Target,Meeting Target,Approaching Target,79.0%,88.0%,73.0%,85.0%,94.0%,90.0%,Proficient,Developing,Developing,Proficient,Developing,Proficient,Proficient,Proficient,Proficient,Developing,March 2017,2.51,2.22,32.9%,21.7%,0.7%,0.89,19.1%,20.7%,72.7%,0.7%,35.5%,61.5%,1.0%,5.40,95.7%,73.0%,60.2%,96.3%
14K478,"The High School for Enterprise, Business and Techn",High School,831,Meeting Target,Approaching Target,Meeting Target,Approaching Target,Meeting Target,Approaching Target,Approaching Target,75.0%,69.0%,65.0%,66.0%,84.0%,77.0%,Well Developed,Proficient,Proficient,Well Developed,Proficient,Proficient,Proficient,Proficient,Proficient,Proficient,May 2018,2.73,2.56,11.9%,16.2%,0.1%,0.83,9.3%,11.1%,73.2%,5.8%,30.3%,61.3%,1.9%,8.90,93.9%,85.0%,42.0%,95.9%
14K488,Brooklyn Preparatory High School,High School,527,Meeting Target,Exceeding Target,Meeting Target,Exceeding Target,Exceeding Target,Exceeding Target,Meeting Target,83.0%,89.0%,76.0%,94.0%,91.0%,95.0%,Proficient,Proficient,Proficient,Well Developed,Well Developed,,,,,,5-May-15,2.93,2.72,2.1%,18.8%,1.1%,0.76,5.3%,11.2%,64.5%,0.9%,43.3%,52.8%,1.5%,9.00,74.3%,83.8%,46.5%,96.4%
14K558,Williamsburg High School for Architecture and Desi,High School,580,Exceeding Target,Exceeding Target,Exceeding Target,Meeting Target,Meeting Target,Meeting Target,Exceeding Target,84.0%,85.0%,80.0%,89.0%,87.0%,89.0%,Well Developed,Proficient,Proficient,Well Developed,Well Developed,,,,,,12-Jan-15,2.84,2.69,3.1%,22.2%,1.2%,0.71,2.8%,8.8%,60.2%,2.2%,28.4%,61.0%,6.4%,10.60,85.7%,92.4%,17.6%,98.1%
14K561,Williamsburg Preparatory School,High School,682,Meeting Target,Exceeding Target,Exceeding Target,Meeting Target,Exceeding Target,Exceeding Target,Exceeding Target,83.0%,85.0%,76.0%,88.0%,90.0%,94.0%,Proficient,Proficient,Proficient,Well Developed,Well Developed,Well Developed,Well Developed,Proficient,Well Developed,Proficient,November-18,2.87,2.66,4.7%,21.1%,0.6%,0.79,2.9%,7.2%,69.2%,3.1%,15.7%,70.4%,9.2%,8.60,91.1%,90.3%,29.2%,97.2%
14K586,Lyons Community School,High School,298,Meeting Target,Meeting Target,Meeting Target,Meeting Target,Exceeding Target,Exceeding Target,Meeting Target,80.0%,84.0%,68.0%,88.0%,94.0%,92.0%,Proficient,Proficient,Proficient,Proficient,Proficient,,,,,,16-Dec-15,2.45,2.14,12.8%,24.2%,0.0%,0.90,7.4%,16.4%,82.9%,0.0%,30.2%,65.8%,3.4%,12.10,78.6%,78.8%,53.3%,96.9%
14K610,Automotive High School,High School,329,Meeting Target,Approaching Target,Meeting Target,Approaching Target,Meeting Target,Approaching Target,Meeting Target,67.0%,51.0%,64.0%,60.0%,89.0%,74.0%,Proficient,Proficient,Proficient,Proficient,Proficient,Proficient,Proficient,Proficient,Well Developed,Proficient,April 2018,2.44,2.29,6.4%,34.0%,4.6%,0.81,16.4%,10.9%,72.6%,3.0%,49.2%,41.9%,2.7%,1.00,81.1%,83.5%,47.2%,95.3%
14K614,Young Women's Leadership School of Brooklyn,High School,225,Meeting Target,Meeting Target,Meeting Target,Meeting Target,Not Meeting Target,Approaching Target,Meeting Target,81.0%,88.0%,71.0%,92.0%,80.0%,82.0%,Well Developed,Proficient,Developing,Well Developed,Developing,Well Developed,Well Developed,Proficient,Proficient,Proficient,December 2017,2.83,2.58,11.1%,15.6%,0.9%,0.80,4.4%,11.1%,71.1%,4.4%,42.7%,42.7%,6.7%,2.90,74.2%,86.0%,42.4%,96.2%
14K685,El Puente Academy for Peace and Justice,High School,224,Exceeding Target,Exceeding Target,Meeting Target,Exceeding Target,Exceeding Target,Exceeding Target,Meeting Target,87.0%,94.0%,78.0%,99.0%,93.0%,96.0%,Well Developed,Proficient,Well Developed,Well Developed,Well Developed,Well Developed,Well Developed,Well Developed,Proficient,Well Developed,April-19,2.46,2.20,18.3%,26.3%,0.4%,0.89,7.1%,14.3%,83.5%,0.4%,4.9%,92.4%,0.4%,8.00,81.3%,81.7%,66.1%,98.2%
15K429,Digital Arts and Cinema Technology High School,High School,246,Meeting Target,Meeting Target,Meeting Target,Exceeding Target,Meeting Target,Meeting Target,Meeting Target,78.0%,81.0%,70.0%,87.0%,86.0%,86.0%,Well Developed,Proficient,Proficient,Well Developed,Proficient,Well Developed,Well Developed,Proficient,Well Developed,Well Developed,December 2016,2.85,2.67,0.4%,21.5%,0.0%,0.76,3.3%,4.9%,66.7%,3.7%,54.5%,35.0%,5.3%,5.80,70.0%,90.6%,32.0%,97.7%
15K448,Brooklyn Collaborative Studies,High School,389,Exceeding Target,Exceeding Target,Meeting Target,Meeting Target,Exceeding Target,Meeting Target,Meeting Target,78.0%,84.0%,67.0%,86.0%,93.0%,89.0%,Well Developed,Proficient,Well Developed,Well Developed,Well Developed,,,,,,13-Jan-16,2.98,2.63,6.2%,26.2%,0.3%,0.71,1.8%,6.9%,57.8%,3.1%,39.3%,47.8%,7.5%,5.00,91.8%,86.3%,47.1%,96.6%
15K462,John Jay School for Law,High School,436,Exceeding Target,Meeting Target,Approaching Target,Not Meeting Target,Approaching Target,Approaching Target,Meeting Target,71.0%,68.0%,62.0%,69.0%,78.0%,77.0%,Well Developed,Well Developed,Well Developed,Well Developed,Well Developed,,,,,,"April 1, 2015",2.85,2.55,3.2%,18.8%,0.2%,0.76,4.6%,11.5%,66.1%,2.3%,62.6%,29.4%,2.8%,2.10,57.6%,84.3%,46.6%,97.2%
15K463,Secondary School for Journalism,High School,268,,,Approaching Target,,,,Approaching Target,60.0%,82.0%,61.0%,97.0%,88.0%,88.0%,Developing,Developing,Developing,Proficient,Developing,Developing,Proficient,Proficient,Proficient,Developing,April 2017,2.77,2.43,14.2%,20.1%,0.4%,0.81,16.0%,11.6%,69.0%,6.7%,45.9%,37.3%,8.6%,0.60,93.3%,81.3%,55.0%,95.2%
15K464,Park Slope Collegiate,High School,440,Meeting Target,Meeting Target,Meeting Target,Meeting Target,Approaching Target,Meeting Target,Approaching Target,70.0%,68.0%,62.0%,77.0%,86.0%,82.0%,Well Developed,Proficient,Well Developed,Well Developed,Well Developed,Well Developed,Proficient,Proficient,Proficient,Proficient,December-18,2.80,2.64,7.3%,20.7%,0.7%,0.71,3.0%,6.8%,61.1%,4.3%,38.2%,45.7%,9.3%,15.10,73.6%,84.5%,47.4%,96.3%
15K497,The Boerum Hill School for International Studies,High School,286,Meeting Target,Meeting Target,Meeting Target,Meeting Target,Meeting Target,Meeting Target,Approaching Target,78.0%,80.0%,67.0%,83.0%,87.0%,87.0%,Well Developed,Proficient,Proficient,Well Developed,Proficient,Well Developed,Well Developed,Proficient,Well Developed,Proficient,January 2018,2.79,2.58,10.8%,22.0%,0.3%,0.67,1.4%,8.7%,57.7%,5.6%,40.6%,29.0%,18.2%,2.00,52.8%,81.3%,46.6%,96.3%
15K519,Cobble Hill School of American Studies,High School,582,Meeting Target,Meeting Target,Meeting Target,Meeting Target,Exceeding Target,Approaching Target,Meeting Target,81.0%,79.0%,70.0%,82.0%,93.0%,82.0%,Well Developed,Proficient,Proficient,Well Developed,Proficient,Proficient,Proficient,Proficient,Proficient,Proficient,November 2017,2.78,2.41,11.3%,18.9%,0.2%,0.83,13.2%,16.2%,72.9%,3.4%,62.0%,29.0%,2.7%,8.90,59.5%,80.2%,43.0%,96.4%
15K592,Khalil Gibran International Academy,High School,226,Meeting Target,Meeting Target,Meeting Target,Meeting Target,Meeting Target,Meeting Target,Approaching Target,75.0%,67.0%,71.0%,81.0%,84.0%,89.0%,Proficient,Proficient,Proficient,Well Developed,Well Developed,,,,,,"April 21, 2015",2.60,2.52,37.2%,18.1%,0.4%,0.86,24.3%,11.9%,79.2%,17.7%,35.8%,8.0%,31.4%,7.90,60.0%,83.1%,49.8%,96.5%
15K656,Brooklyn High School of the Arts,High School,939,Meeting Target,Exceeding Target,Meeting Target,Exceeding Target,Exceeding Target,Exceeding Target,Meeting Target,83.0%,91.0%,72.0%,93.0%,91.0%,93.0%,Proficient,Proficient,Proficient,Well Developed,Proficient,Well Developed,Well Developed,Proficient,Well Developed,Proficient,March 2017,3.15,2.81,1.1%,17.6%,5.0%,0.66,2.4%,7.3%,53.4%,3.4%,65.3%,21.3%,4.8%,3.00,72.3%,89.2%,34.4%,96.6%
15K667,Sunset Park High School,High School,1216,Meeting Target,Approaching Target,Meeting Target,Meeting Target,Meeting Target,Approaching Target,Meeting Target,71.0%,61.0%,70.0%,63.0%,85.0%,78.0%,Proficient,Proficient,Proficient,Well Developed,Well Developed,Well Developed,Well Developed,Well Developed,Proficient,Proficient,January 2018,2.66,2.55,21.9%,20.4%,2.5%,0.86,6.5%,8.6%,75.4%,9.9%,7.5%,74.0%,8.1%,4.90,70.4%,85.0%,42.6%,95.6%
15K684,Millennium Brooklyn HS,High School,675,Exceeding Target,Exceeding Target,Exceeding Target,Exceeding Target,Meeting Target,Exceeding Target,Exceeding Target,91.0%,93.0%,87.0%,94.0%,86.0%,95.0%,Well Developed,Proficient,Proficient,Well Developed,Well Developed,,,,,,11-Feb-16,3.80,3.85,0.3%,15.1%,0.0%,0.40,0.6%,1.6%,28.9%,12.7%,16.6%,19.7%,44.4%,4.00,85.2%,95.8%,8.1%,97.0%
16K455,Boys and Girls High School,High School,439,Approaching Target,Meeting Target,Meeting Target,Meeting Target,Meeting Target,Meeting Target,Meeting Target,82.0%,82.0%,70.0%,81.0%,90.0%,85.0%,Proficient,Developing,Developing,Proficient,Proficient,Proficient,Proficient,Proficient,Proficient,Proficient,April 2018,2.47,2.23,6.2%,28.5%,8.4%,0.86,15.9%,15.3%,78.1%,1.4%,82.0%,11.4%,2.1%,3.00,76.5%,81.6%,44.3%,96.3%
16K498,Brooklyn High School for Law and Technology,High School,589,Approaching Target,Meeting Target,Meeting Target,Meeting Target,Meeting Target,Meeting Target,Meeting Target,76.0%,78.0%,66.0%,83.0%,86.0%,87.0%,Proficient,Developing,Developing,Proficient,Proficient,Proficient,Proficient,Proficient,Proficient,Developing,November 2016,2.70,2.48,6.1%,22.1%,4.1%,0.81,9.8%,13.6%,72.3%,3.9%,63.3%,28.7%,1.9%,4.00,70.3%,80.8%,47.2%,96.7%
16K688,The Brooklyn Academy of Global Finance,High School,105,Approaching Target,Meeting Target,Meeting Target,Meeting Target,Meeting Target,Exceeding Target,Meeting Target,78.0%,84.0%,69.0%,90.0%,90.0%,92.0%,Proficient,Developing,Developing,Developing,Developing,Developing,Proficient,Developing,Proficient,Developing,May 2017,2.40,2.14,14.3%,26.7%,0.0%,0.92,23.8%,20.0%,86.7%,7.6%,71.4%,16.2%,2.9%,6.90,63.6%,84.9%,44.0%,95.4%
16K765,Nelson Mandela High School,High School,252,Approaching Target,Approaching Target,Approaching Target,Approaching Target,Meeting Target,Approaching Target,Approaching Target,76.0%,63.0%,63.0%,81.0%,91.0%,79.0%,Proficient,Developing,Developing,Proficient,Developing,Proficient,Developing,Proficient,Proficient,Developing,December 2016,2.45,2.21,0.8%,31.7%,7.5%,0.85,20.6%,17.9%,74.6%,1.6%,82.9%,10.7%,0.8%,5.10,88.2%,73.5%,71.1%,97.0%
17K122,Pathways in Technology Early College High School (,High School,581,Meeting Target,Meeting Target,Exceeding Target,Meeting Target,Exceeding Target,Exceeding Target,Meeting Target,77.0%,79.0%,75.0%,82.0%,90.0%,90.0%,Proficient,Proficient,Proficient,Well Developed,Proficient,,,,,,31-May-16,2.85,2.65,2.2%,17.4%,0.0%,0.66,5.9%,8.1%,53.5%,1.7%,82.4%,11.9%,0.9%,8.10,85.3%,91.1%,21.5%,96.9%
17K382,Academy for College Preparation and Career Explora,High School,230,Meeting Target,Exceeding Target,Meeting Target,Meeting Target,Approaching Target,Meeting Target,Approaching Target,78.0%,86.0%,68.0%,90.0%,87.0%,86.0%,Developing,Proficient,Proficient,Proficient,Proficient,Proficient,Proficient,Proficient,Well Developed,Proficient,November 2017,2.58,2.25,17.8%,17.0%,0.0%,0.79,17.8%,16.1%,66.5%,0.0%,83.0%,10.0%,2.2%,2.50,77.3%,85.2%,42.5%,99.1%
17K408,Academy of Hospitality and Tourism,High School,196,Approaching Target,Meeting Target,Meeting Target,Meeting Target,Approaching Target,Meeting Target,Meeting Target,75.0%,81.0%,75.0%,88.0%,79.0%,89.0%,Proficient,Proficient,Developing,Proficient,Proficient,Proficient,Proficient,Proficient,Proficient,Proficient,December 2016,2.59,2.28,20.4%,21.4%,0.0%,0.85,21.4%,15.3%,73.0%,0.5%,81.6%,13.8%,3.6%,3.40,60.0%,84.0%,38.4%,98.4%
17K524,International High School at Prospect Heights,High School,368,Exceeding Target,Exceeding Target,Exceeding Target,Exceeding Target,Exceeding Target,Exceeding Target,Meeting Target,84.0%,91.0%,81.0%,91.0%,95.0%,93.0%,Well Developed,Proficient,Well Developed,Well Developed,Well Developed,Well Developed,Well Developed,Proficient,Proficient,Proficient,November-18,1.92,2.06,87.8%,5.2%,0.3%,0.95,25.0%,22.8%,77.4%,16.3%,23.6%,49.7%,8.4%,9.40,79.3%,88.1%,29.7%,97.6%
17K528,The High School for Global Citizenship,High School,213,Meeting Target,Meeting Target,Meeting Target,Meeting Target,Meeting Target,Approaching Target,Approaching Target,79.0%,84.0%,74.0%,79.0%,88.0%,80.0%,Well Developed,Proficient,Proficient,Well Developed,Proficient,Well Developed,Well Developed,Proficient,Proficient,Proficient,May-19,2.71,2.54,15.5%,16.4%,0.0%,0.78,12.2%,16.9%,64.8%,4.2%,72.8%,18.8%,2.8%,9.00,46.2%,86.3%,43.4%,95.6%
17K531,"School for Human Rights, The",High School,330,Meeting Target,Meeting Target,Meeting Target,Meeting Target,Meeting Target,Meeting Target,Meeting Target,81.0%,82.0%,70.0%,87.0%,88.0%,88.0%,Proficient,Proficient,Proficient,Proficient,Proficient,Proficient,Proficient,Proficient,Proficient,Proficient,December-18,2.71,2.36,8.2%,19.1%,0.0%,0.76,14.2%,12.7%,63.6%,2.1%,87.0%,8.5%,1.2%,12.10,100.0%,89.0%,28.2%,96.9%
17K537,High School for Youth and Community Development at,High School,467,Meeting Target,Exceeding Target,Exceeding Target,Exceeding Target,Meeting Target,Meeting Target,Meeting Target,77.0%,88.0%,72.0%,92.0%,88.0%,91.0%,Well Developed,Proficient,Proficient,Well Developed,Well Developed,,,,,,23-Apr-15,2.61,2.28,8.8%,25.5%,0.6%,0.78,14.1%,16.1%,66.2%,3.9%,78.4%,14.3%,2.4%,14.40,78.3%,86.1%,38.2%,94.6%
17K539,High School for Service & Learning at Erasmus,High School,297,Meeting Target,Meeting Target,Meeting Target,Meeting Target,Exceeding Target,Meeting Target,Meeting Target,70.0%,73.0%,63.0%,80.0%,94.0%,84.0%,Proficient,Proficient,Proficient,Proficient,Proficient,Proficient,Proficient,Proficient,Well Developed,Proficient,May 2017,2.65,2.34,14.8%,21.5%,0.3%,0.82,25.6%,10.4%,70.4%,3.0%,76.1%,16.5%,2.7%,3.10,70.0%,83.9%,40.8%,97.4%
17K543,"Science, Technology and Research Early College Hig",High School,356,Exceeding Target,Exceeding Target,Exceeding Target,Exceeding Target,Exceeding Target,Exceeding Target,Meeting Target,93.0%,91.0%,82.0%,95.0%,99.0%,93.0%,Well Developed,Proficient,Proficient,Well Developed,Well Developed,,,,,,"January 7, 2015",3.38,3.38,1.1%,13.5%,0.0%,0.57,0.8%,4.2%,45.5%,3.9%,79.5%,12.6%,1.1%,11.00,78.8%,96.4%,8.9%,98.6%
17K546,High School for Public Service: Heroes of Tomorrow,High School,462,Meeting Target,Approaching Target,Meeting Target,Meeting Target,Meeting Target,Meeting Target,Meeting Target,79.0%,87.0%,70.0%,89.0%,89.0%,92.0%,Proficient,Proficient,Proficient,Proficient,Developing,Well Developed,Well Developed,Proficient,Developing,Developing,May 2018,3.14,2.88,1.5%,17.5%,5.0%,0.73,3.2%,10.4%,62.1%,3.7%,77.1%,15.8%,1.3%,6.50,79.3%,92.2%,20.8%,96.7%
17K547,Brooklyn Academy of Science and the Environment,High School,382,Meeting Target,Meeting Target,Meeting Target,Meeting Target,Meeting Target,Meeting Target,Meeting Target,68.0%,73.0%,67.0%,80.0%,86.0%,86.0%,Proficient,Developing,Proficient,Proficient,Proficient,Proficient,Proficient,Proficient,Proficient,Proficient,March 2018,2.72,2.60,5.8%,16.2%,0.3%,0.76,12.6%,13.1%,65.4%,3.9%,80.4%,11.5%,3.1%,2.10,95.2%,90.4%,24.7%,97.8%
17K548,Brooklyn School for Music & Theatre,High School,296,Meeting Target,Meeting Target,Meeting Target,Meeting Target,Approaching Target,Meeting Target,Approaching Target,78.0%,88.0%,67.0%,92.0%,82.0%,90.0%,Proficient,Developing,Proficient,Proficient,Proficient,Well Developed,Well Developed,Proficient,Proficient,Proficient,March 2017,2.63,2.28,2.7%,22.3%,2.4%,0.82,12.2%,19.9%,76.4%,0.3%,77.7%,19.9%,1.7%,12.00,68.2%,83.5%,45.8%,95.2%
17K590,Medgar Evers College Preparatory School,High School,897,,,Meeting Target,,Exceeding Target,Meeting Target,Meeting Target,81.0%,83.0%,59.0%,91.0%,96.0%,87.0%,Proficient,Proficient,Proficient,Well Developed,Proficient,Well Developed,Well Developed,Well Developed,Proficient,Proficient,November-18,3.64,3.63,0.6%,8.8%,0.3%,0.55,2.0%,6.4%,41.5%,2.5%,87.1%,5.6%,1.0%,17.90,85.5%,93.2%,21.1%,96.5%
17K600,Clara Barton High School,High School,1200,Approaching Target,Meeting Target,Approaching Target,Meeting Target,Approaching Target,Approaching Target,Meeting Target,73.0%,77.0%,60.0%,80.0%,83.0%,83.0%,Proficient,Developing,Developing,Proficient,Proficient,Proficient,Proficient,Proficient,Proficient,Proficient,December 2016,2.85,2.56,7.8%,18.1%,7.3%,0.72,5.6%,10.8%,59.2%,1.4%,89.2%,7.3%,0.9%,12.50,85.7%,87.0%,37.1%,95.7%
17K745,Brooklyn Institute for Liberal Arts,High School,415,Meeting Target,Meeting Target,Exceeding Target,Meeting Target,Meeting Target,Meeting Target,Exceeding Target,80.0%,85.0%,71.0%,89.0%,89.0%,88.0%,Well Developed,Proficient,Proficient,Well Developed,Proficient,Well Developed,Well Developed,Proficient,Proficient,Proficient,April 2018,2.80,2.52,4.6%,20.7%,0.2%,0.71,7.5%,14.9%,57.6%,1.7%,87.0%,10.4%,0.2%,7.10,40.7%,91.1%,26.1%,97.6%
17K751,Academy for Health Careers,High School,301,Approaching Target,Meeting Target,Approaching Target,Meeting Target,Meeting Target,Approaching Target,Meeting Target,81.0%,77.0%,66.0%,83.0%,87.0%,83.0%,Proficient,Developing,Developing,Proficient,Proficient,Proficient,Proficient,Developing,Well Developed,Proficient,March 2017,2.80,2.50,3.7%,14.3%,3.7%,0.82,7.3%,15.6%,72.4%,4.7%,77.1%,14.0%,1.7%,9.10,92.6%,86.4%,46.0%,99.2%
18K563,It Takes a Village Academy,High School,659,Meeting Target,Meeting Target,Meeting Target,Not Meeting Target,Approaching Target,Not Meeting Target,Exceeding Target,70.0%,64.0%,63.0%,62.0%,82.0%,71.0%,Well Developed,Proficient,Well Developed,Well Developed,Well Developed,,,,,,"February 25, 2015",2.83,2.64,17.6%,15.2%,2.1%,0.76,12.4%,9.6%,62.4%,1.8%,89.1%,6.7%,1.1%,1.60,74.0%,90.0%,30.1%,97.5%
18K566,Brooklyn Generation School,High School,189,Meeting Target,Meeting Target,Exceeding Target,Exceeding Target,Exceeding Target,Meeting Target,Approaching Target,77.0%,80.0%,70.0%,89.0%,91.0%,90.0%,Well Developed,Proficient,Proficient,Well Developed,Well Developed,Well Developed,Well Developed,Proficient,Proficient,Proficient,May 2017,2.58,2.16,12.2%,23.8%,0.5%,0.75,14.3%,11.6%,64.0%,0.5%,81.0%,12.2%,4.8%,1.60,95.0%,89.9%,23.0%,96.8%
18K567,Brooklyn Theatre Arts High School,High School,350,Approaching Target,Meeting Target,Approaching Target,Meeting Target,Meeting Target,Approaching Target,Meeting Target,71.0%,80.0%,62.0%,81.0%,86.0%,84.0%,Developing,Developing,Developing,Proficient,Developing,Proficient,Proficient,Proficient,Proficient,Developing,October 2017,2.59,2.29,2.3%,17.4%,0.6%,0.79,14.9%,10.9%,70.6%,2.3%,83.7%,10.3%,2.0%,6.90,72.2%,81.0%,56.5%,95.5%
18K569,Kurt Hahn Expeditionary Learning School,High School,294,Meeting Target,Meeting Target,Meeting Target,Meeting Target,Meeting Target,Meeting Target,Meeting Target,65.0%,70.0%,68.0%,78.0%,87.0%,83.0%,Proficient,Proficient,Proficient,Well Developed,Proficient,Well Developed,Proficient,Proficient,Proficient,Proficient,December-18,2.51,2.19,7.1%,28.9%,2.0%,0.75,12.2%,11.6%,66.0%,0.7%,89.1%,6.5%,1.7%,4.90,80.8%,87.0%,40.2%,96.0%
18K576,Victory Collegiate High School,High School,341,Exceeding Target,Meeting Target,Meeting Target,Meeting Target,Meeting Target,Meeting Target,Approaching Target,71.0%,70.0%,66.0%,81.0%,87.0%,89.0%,Well Developed,Well Developed,Well Developed,Well Developed,Well Developed,,,,,,13-May-15,2.55,2.32,6.7%,25.5%,0.9%,0.77,15.0%,10.6%,68.3%,1.8%,82.4%,10.6%,4.1%,3.30,75.0%,85.4%,52.3%,96.6%
18K617,High School for Innovation in Advertising and Medi,High School,240,Meeting Target,Meeting Target,Approaching Target,Meeting Target,Exceeding Target,Exceeding Target,Approaching Target,74.0%,80.0%,70.0%,70.0%,95.0%,90.0%,Proficient,Proficient,Proficient,Proficient,Proficient,Proficient,Well Developed,Proficient,Proficient,Proficient,October 2016,2.54,2.39,9.2%,22.5%,5.4%,0.72,9.2%,7.5%,62.9%,1.7%,80.8%,11.7%,4.6%,11.10,50.0%,82.8%,54.9%,97.4%
