DBN,School Name,School Type,Enrollment,Rigorous Instruction Rating,Collaborative Teachers Rating,Supportive Environment Rating,Effective School Leadership Rating,Strong Family-Community Ties Rating,Trust Rating,Student Achievement Rating,Rigorous Instruction - Percent Positive,Collaborative Teachers - Percent Positive,Supportive Environment - Percent Positive,Effective School Leadership - Percent Positive,Strong Family-Community Ties - Percent Positive,Trust - Percent Positive,Quality Review - How interesting and challenging is the curriculum,Quality Review - How effective is the teaching and learning,Quality Review - How well does the school assess what students are learning,Quality Review - How clearly are high expectations communicated to students and staff,Quality Review - How well do teachers work with each other,Quality Review - How safe and inclusive is the school while supporting social-emotional growth,Quality Review - How well does the school allocate and manage resources,"Quality Review - How well does the school identify, track, and meet its goals",Quality Review - How thoughtful is the school s approach to teacher development and evaluation,Quality Review - How well are school decisions evaluated and adjusted,Quality Review - Dates of Review,Average Grade 8 English Proficiency,Average Grade 8 Math Proficiency,Percent English Language Learners,Percent Students with Disabilities,Percent Self-Contained,Economic Need Index,Percent Overage/Undercredited,Percent in Temp Housing,Percent HRA Eligible,Percent Asian,Percent Black,Percent Hispanic,Percent White,Years of principal experience at this school,Percent of teachers with 3 or more years of experience,Student Attendance Rate,Percent of Students Chronically Absent,Teacher Attendance Rate
11X299,Astor Collegiate Academy,High School,500,Approaching Target,Approaching Target,Approaching Target,Meeting Target,Meeting Target,Approaching Target,Approaching Target,80.0%,77.0%,64.0%,75.0%,87.0%,82.0%,Proficient,Developing,Developing,Proficient,Developing,Developing,Proficient,Proficient,Proficient,Proficient,May 2017,2.75,2.56,7.6%,23.0%,1.2%,0.75,6.6%,10.2%,63.6%,8.0%,27.6%,49.0%,12.2%,8.70,70.0%,83.8%,42.5%,97.2%
11X418,Bronx High School for the Visual Arts,High School,461,Approaching Target,Approaching Target,Approaching Target,Meeting Target,Meeting Target,Approaching Target,Approaching Target,69.0%,71.0%,64.0%,73.0%,87.0%,81.0%,Proficient,Developing,Proficient,Developing,Proficient,Developing,Proficient,Proficient,Proficient,Proficient,November 2016,2.69,2.33,6.1%,29.1%,0.0%,0.79,8.5%,12.1%,68.5%,3.7%,26.9%,58.8%,9.5%,4.10,74.3%,83.5%,51.6%,95.7%
11X455,Harry S Truman High School,High School,2081,Meeting Target,Meeting Target,Meeting Target,Meeting Target,,,Meeting Target,83.0%,86.0%,67.0%,90.0%,84.0%,90.0%,Proficient,Proficient,Proficient,Proficient,Proficient,Proficient,Proficient,Developing,Proficient,Developing,May 2017,2.62,2.30,8.4%,25.4%,11.0%,0.76,9.8%,15.9%,66.5%,3.2%,50.0%,42.0%,3.1%,5.90,79.0%,89.0%,25.3%,96.5%
11X508,Bronxdale High School,High School,459,Exceeding Target,Meeting Target,Meeting Target,Meeting Target,Exceeding Target,Exceeding Target,Meeting Target,84.0%,95.0%,78.0%,96.0%,89.0%,95.0%,Well Developed,Well Developed,Proficient,Well Developed,Proficient,Proficient,Proficient,Proficient,Proficient,Proficient,October-18,2.81,2.53,6.8%,23.3%,0.2%,0.76,6.5%,11.3%,64.3%,5.0%,28.1%,57.1%,8.3%,7.20,59.0%,84.6%,51.4%,96.3%
11X509,High School of Language and Innovation,High School,379,Meeting Target,Exceeding Target,Meeting Target,Meeting Target,Approaching Target,Meeting Target,Meeting Target,78.0%,89.0%,78.0%,87.0%,82.0%,87.0%,Proficient,Proficient,Proficient,Well Developed,Proficient,Well Developed,Proficient,Proficient,Well Developed,Proficient,May 2017,2.03,2.17,80.2%,4.5%,0.5%,0.98,16.4%,26.9%,81.5%,20.1%,5.8%,53.8%,18.7%,8.10,56.3%,90.2%,33.8%,97.3%
11X513,New World High School,High School,381,Meeting Target,Meeting Target,Exceeding Target,Exceeding Target,Meeting Target,Meeting Target,Exceeding Target,83.0%,89.0%,79.0%,90.0%,85.0%,91.0%,Proficient,Proficient,Proficient,Well Developed,Proficient,Proficient,Well Developed,Well Developed,Proficient,Proficient,February-19,2.10,2.15,68.8%,6.8%,0.3%,0.94,16.0%,23.1%,77.7%,9.7%,12.1%,66.9%,11.0%,1.80,68.0%,89.8%,28.8%,97.5%
11X514,The Bronxwood Preparatory Academy,High School,360,Meeting Target,Exceeding Target,Exceeding Target,Exceeding Target,Meeting Target,Meeting Target,Meeting Target,76.0%,93.0%,68.0%,94.0%,89.0%,92.0%,Well Developed,Proficient,Proficient,Well Developed,Proficient,Well Developed,Well Developed,Proficient,Well Developed,Proficient,November 2017,2.57,2.15,9.7%,21.9%,0.6%,0.75,11.7%,13.1%,65.3%,3.9%,63.3%,26.1%,3.6%,14.10,73.1%,90.6%,29.1%,95.6%
11X542,Pelham Preparatory Academy,High School,511,Meeting Target,Meeting Target,Meeting Target,Meeting Target,Meeting Target,Meeting Target,Meeting Target,75.0%,80.0%,71.0%,78.0%,87.0%,83.0%,Proficient,Proficient,Proficient,Well Developed,Well Developed,Well Developed,Well Developed,Proficient,Proficient,Proficient,November 2017,2.89,2.61,6.1%,24.5%,0.2%,0.74,7.2%,10.6%,63.0%,7.4%,25.4%,55.0%,10.4%,3.00,79.3%,88.5%,34.4%,95.5%
11X544,High School for Contemporary Arts,High School,395,Meeting Target,Meeting Target,Exceeding Target,Exceeding Target,Meeting Target,Meeting Target,Meeting Target,84.0%,92.0%,71.0%,93.0%,91.0%,90.0%,Proficient,Developing,Developing,Proficient,Proficient,Well Developed,Proficient,Well Developed,Proficient,Proficient,March 2017,2.52,2.19,17.2%,25.3%,6.6%,0.88,21.3%,18.2%,76.5%,1.8%,39.5%,54.2%,3.5%,3.70,89.3%,85.9%,38.7%,96.4%
11X545,Bronx Aerospace High School,High School,322,Exceeding Target,Exceeding Target,Approaching Target,Exceeding Target,Meeting Target,Approaching Target,Approaching Target,79.0%,79.0%,58.0%,79.0%,86.0%,80.0%,Well Developed,Well Developed,Proficient,Proficient,Well Developed,Well Developed,Well Developed,Well Developed,Well Developed,Well Developed,April 2018,2.43,2.16,18.0%,26.7%,1.2%,0.87,18.3%,22.7%,76.7%,5.3%,37.6%,52.5%,2.2%,5.00,87.0%,76.0%,67.4%,95.9%
12X242,Mott Hall V,High School,372,Meeting Target,Meeting Target,Meeting Target,Meeting Target,Meeting Target,Meeting Target,Meeting Target,73.0%,74.0%,76.0%,76.0%,88.0%,84.0%,Proficient,Proficient,Proficient,Proficient,Proficient,Proficient,Proficient,Proficient,Proficient,Proficient,November-18,2.73,2.41,9.9%,28.0%,8.3%,0.87,3.0%,7.5%,78.0%,5.1%,16.1%,78.2%,0.5%,14.10,71.9%,88.4%,41.8%,96.8%
12X248,"Metropolitan High School, The",High School,356,Not Meeting Target,Not Meeting Target,Approaching Target,Approaching Target,Approaching Target,Not Meeting Target,Approaching Target,59.0%,65.0%,61.0%,72.0%,81.0%,76.0%,Developing,Developing,Developing,Proficient,Developing,,,,,,"April 1, 2015",2.35,2.12,22.5%,30.3%,3.4%,0.94,18.5%,23.9%,85.1%,1.1%,23.6%,72.5%,1.7%,1.90,63.2%,77.7%,63.5%,96.8%
12X251,Explorations Academy H.S.,High School,326,Meeting Target,Approaching Target,Meeting Target,Approaching Target,Meeting Target,Meeting Target,Meeting Target,71.0%,54.0%,69.0%,57.0%,87.0%,77.0%,Proficient,Proficient,Proficient,Proficient,Proficient,Well Developed,Proficient,Proficient,Well Developed,Proficient,April 2018,2.42,2.25,21.8%,24.5%,0.6%,0.92,20.2%,20.2%,81.9%,1.5%,27.9%,69.0%,0.6%,12.00,66.7%,82.1%,52.2%,95.8%
12X267,Bronx Latin,High School,338,Meeting Target,Exceeding Target,Meeting Target,Meeting Target,Meeting Target,Meeting Target,Exceeding Target,80.0%,80.0%,68.0%,81.0%,91.0%,86.0%,Proficient,Proficient,Proficient,Well Developed,Well Developed,Proficient,Well Developed,Well Developed,Well Developed,Proficient,April-19,2.67,2.60,12.1%,23.7%,0.0%,0.89,5.9%,7.7%,80.8%,1.5%,19.8%,77.2%,1.2%,6.90,51.9%,88.9%,29.9%,96.5%
12X271,East Bronx Academy for the Future,High School,388,,,Meeting Target,,,,Meeting Target,82.0%,86.0%,69.0%,90.0%,91.0%,90.0%,Proficient,Proficient,Proficient,Well Developed,Well Developed,Well Developed,Well Developed,Well Developed,Well Developed,Well Developed,March 2017,2.53,2.31,16.0%,30.9%,9.5%,0.93,7.5%,17.0%,85.8%,2.1%,25.5%,69.3%,1.5%,15.10,67.2%,83.0%,47.8%,94.5%
12X388,Pan American International High School at Monroe,High School,444,Exceeding Target,Exceeding Target,Exceeding Target,Exceeding Target,Exceeding Target,Exceeding Target,Exceeding Target,91.0%,94.0%,91.0%,96.0%,92.0%,93.0%,Well Developed,Well Developed,Well Developed,Well Developed,Well Developed,,,,,,18-May-16,1.77,1.86,87.8%,3.2%,0.2%,0.98,25.5%,32.9%,72.3%,0.0%,0.5%,99.3%,0.0%,11.10,72.2%,87.5%,40.5%,98.2%
