School,District,A1. Classroom Salaries,A2. Other Instructional Salaries,A3. Instructional Benefits,A4. Professional Development,GROUP A TOTAL,B1. School Administrative Salaries,B2. School Administrative Benefits,B3. Other School Administrative Expenditures,GROUP B TOTAL,C1. All Other Salaries,C2. All Other Benefits,C3. All Other Non-personnel Expenditures,GROUP C TOTAL,D. Total School Level (A + B + C),I. Total Spending (D + H),J. Total School Level Local/State Spending,K1. Federal Title I Part A,K2. Federal Title II Part A,K3. Federal Title III Part A,K4. Federal Title IV Part A,K5. IDEA,K6. All Other Federal,GROUP K TOTAL,N. Total District and School Spending (J + K + L + M),O. Special Education,P. ELL/MLL Services,Q. Pupil Services,R. Community Schools Programs,S. BOCES Services,T. Prekindergarten
JHS 189 DANIEL CARTER BEARD,NYC GEOG DIST #25 - QUEENS ,"$5,951.46","$1,512.97","$4,135.67",$48.71,"$11,648.81",$543.24,$300.98,$0.00,$844.22,$579.23,$320.92,$865.02,"$1,765.18","$14,258.21","$21,960.28","$13,241.09",$481.02,$0.00,$19.04,$31.91,$118.51,$366.63,"$1,017.12","$21,960.28","$16,117.73","$6,622.27","$1,240.24",$798.18,$0.00,$0.00
JHS 194 WILLIAM CARR,NYC GEOG DIST #25 - QUEENS ,"$5,587.22","$1,083.04","$3,695.66",$9.03,"$10,374.96",$432.63,$239.70,$0.00,$672.34,$289.98,$160.66,$224.40,$675.04,"$11,722.33","$19,424.41","$11,596.60",$26.07,$0.00,$16.48,$0.00,$83.18,$0.00,$125.73,"$19,424.41","$18,896.16","$4,011.73",$450.64,$0.00,$0.00,$0.00
JOHN BOWNE HIGH SCHOOL,NYC GEOG DIST #25 - QUEENS ,"$5,471.80","$1,157.55","$3,673.00",$11.90,"$10,314.25",$516.01,$285.89,$0.00,$801.90,$560.26,$310.41,$381.19,"$1,251.85","$12,368.00","$20,070.08","$11,609.15",$446.42,$0.00,$12.50,$0.00,$78.31,$221.62,$758.85,"$20,070.08","$11,572.79","$6,976.82",$962.14,$685.73,$0.00,$0.00
NORTH QUEENS COMMUNITY HIGH SCHOOL,NYC GEOG DIST #25 - QUEENS ,"$6,896.28","$1,436.53","$4,616.80",$133.73,"$13,083.34","$1,971.33","$1,092.21",$0.00,"$3,063.54",$716.01,$396.70,"$1,015.99","$2,128.70","$18,275.60","$25,977.68","$17,768.49",$507.11,$0.00,$0.00,$0.00,$0.00,$0.00,$507.11,"$25,977.68","$3,913.46","$20,032.88","$1,112.72",$0.00,$0.00,$0.00
PS 107 THOMAS A DOOLEY,NYC GEOG DIST #25 - QUEENS ,"$6,572.33","$3,618.91","$5,646.46",$44.03,"$15,881.73",$429.99,$238.23,$0.00,$668.22,$385.65,$213.67,$525.69,"$1,125.00","$17,674.95","$25,377.03","$16,665.04",$447.36,$55.78,$16.38,$0.00,$490.39,$0.00,"$1,009.91","$25,377.03","$42,390.75","$9,978.01",$599.32,$0.00,$0.00,"$16,152.33"
PS 120,NYC GEOG DIST #25 - QUEENS ,"$6,187.00","$1,713.97","$4,377.54",$33.46,"$12,311.96",$537.79,$297.96,$0.00,$835.75,$173.62,$96.19,$272.84,$542.66,"$13,690.37","$21,392.44","$12,932.13",$480.85,$75.54,$77.97,$0.00,$123.88,$0.00,$758.24,"$21,392.44","$23,491.09","$4,957.63",$269.82,$0.00,$0.00,"$13,525.26"
PS 129 PATRICIA LARKIN,NYC GEOG DIST #25 - QUEENS ,"$6,271.08","$2,021.39","$4,594.45",$0.00,"$12,886.93",$403.17,$223.38,$0.00,$626.54,$384.83,$213.22,$409.86,"$1,007.91","$14,521.38","$22,223.45","$13,720.09",$498.86,$41.04,$38.68,$0.00,$222.71,$0.00,$801.28,"$22,223.45","$23,555.06","$6,582.70",$598.05,$0.00,$0.00,$0.00
PS 130,NYC GEOG DIST #25 - QUEENS ,"$7,211.14","$3,143.02","$5,736.73",$86.72,"$16,177.62",$724.68,$401.51,$0.00,"$1,126.19",$0.00,$0.00,$354.87,$354.87,"$17,658.68","$25,360.76","$17,116.55",$1.58,$81.33,$37.01,$66.61,$355.60,$0.00,$542.13,"$25,360.76","$33,777.75","$12,425.47",$0.00,$0.00,$0.00,"$15,338.94"
PS 154,NYC GEOG DIST #25 - QUEENS ,"$6,700.95","$2,884.04","$5,310.57",$13.16,"$14,908.72",$410.51,$227.44,$0.00,$637.95,$337.56,$187.03,$363.82,$888.41,"$16,435.08","$24,137.15","$15,424.80",$481.85,$61.12,$38.14,$0.00,$303.99,$125.18,"$1,010.28","$24,137.15","$26,626.54","$5,935.99",$524.59,$0.00,$0.00,"$15,848.19"
PS 163 FLUSHING HEIGHTS,NYC GEOG DIST #25 - QUEENS ,"$5,587.07","$1,700.58","$4,037.73",$42.93,"$11,368.30",$502.94,$278.65,$0.00,$781.59,$211.09,$116.96,$658.20,$986.24,"$13,136.13","$20,838.21","$12,592.41",$399.81,$83.89,$36.42,$0.00,$23.60,$0.00,$543.73,"$20,838.21","$18,830.71","$5,507.99",$328.05,$0.00,$0.00,"$14,673.85"
PS 164 QUEENS VALLEY,NYC GEOG DIST #25 - QUEENS ,"$6,998.68","$2,076.02","$5,027.85",$1.54,"$14,104.09",$596.39,$330.43,$0.00,$926.83,$182.59,$101.17,$186.33,$470.09,"$15,501.01","$23,203.09","$14,828.34",$435.79,$27.49,$21.93,$0.00,$187.45,$0.00,$672.67,"$23,203.09","$26,836.37","$7,838.09",$283.76,$0.00,$0.00,"$15,054.97"
PS 165 EDITH K BERGTRAUM,NYC GEOG DIST #25 - QUEENS ,"$10,238.32","$3,430.13","$7,573.02",$118.47,"$21,359.93",$526.02,$291.44,$0.00,$817.46,$548.86,$304.10,$619.35,"$1,472.31","$23,649.70","$31,351.77","$22,953.01",$439.49,$97.34,$13.91,$0.00,$145.95,$0.00,$696.69,"$31,351.77","$52,291.31","$8,458.27",$852.96,$0.00,$0.00,"$24,133.13"
PS 169 BAY TERRACE,NYC GEOG DIST #25 - QUEENS ,"$6,642.94","$2,795.03","$5,229.12",$99.52,"$14,766.62",$670.76,$371.63,$0.00,"$1,042.39",$543.24,$300.98,$374.78,"$1,219.01","$17,028.02","$24,730.09","$16,607.45",$3.15,$63.97,$34.89,$13.65,$304.89,$0.00,$420.57,"$24,730.09","$30,743.14","$4,736.68",$844.23,$0.00,$0.00,"$14,700.86"
PS 184 FLUSHING MANOR,NYC GEOG DIST #25 - QUEENS ,"$5,891.20","$2,422.71","$4,606.33",$12.28,"$12,932.53",$593.71,$328.94,$0.00,$922.65,$341.67,$189.30,$233.64,$764.61,"$14,619.79","$22,321.87","$14,283.11",$30.18,$62.64,$28.70,$0.00,$215.16,$0.00,$336.68,"$22,321.87","$24,295.82","$4,699.12",$530.98,$0.00,$0.00,"$14,341.72"
